hello,hello2,phase,millis
1760022663951,theboxer000,start_to_first,166
1760022664152,theboxer000,first_to_second,201
1760022666658,theboxer000,start_to_first,105
1760022666876,theboxer000,first_to_second,219
1760022670695,theboxer000,start_to_first,351
1760022670845,theboxer000,first_to_second,151
1760022675757,theboxer000,start_to_first,156
1760022675954,theboxer000,first_to_second,197
1760022680801,theboxer000,start_to_first,248
1760022681002,theboxer000,first_to_second,200
1760022685006,theboxer000,start_to_first,302
1760022685160,theboxer000,first_to_second,153
1760022689906,theboxer000,start_to_first,50
1760022690110,theboxer000,first_to_second,203
1760022694309,theboxer000,start_to_first,153
1760022694494,theboxer000,first_to_second,185
1760022697897,theboxer000,start_to_first,303
1760022698098,theboxer000,first_to_second,200
1760022702294,theboxer000,first_to_second,203
1760022705900,theboxer000,start_to_first,336
1760022706066,theboxer000,first_to_second,166
1760022710696,theboxer000,start_to_first,193
1760022710896,theboxer000,first_to_second,201
1760022714603,theboxer000,start_to_first,303
1760022714754,theboxer000,first_to_second,151
1760022719858,theboxer000,start_to_first,253
1760022720007,theboxer000,first_to_second,150
1760022725657,theboxer000,start_to_first,150
1760022725843,theboxer000,first_to_second,186
1760022731193,theboxer000,start_to_first,101
1760022731396,theboxer000,first_to_second,203
1760022735494,theboxer000,start_to_first,88
1760022741299,theboxer000,start_to_first,255
1760022741450,theboxer000,first_to_second,151
1760022745050,theboxer000,start_to_first,345
1760022745204,theboxer000,first_to_second,154
1760022750456,theboxer000,start_to_first,156
1760022750647,theboxer000,first_to_second,191
1760022756342,theboxer000,start_to_first,436
1760022756549,theboxer000,first_to_second,207
1760022761499,theboxer000,start_to_first,352
1760022761650,theboxer000,first_to_second,151
1760022782844,theboxer000,start_to_first,302
1760022783045,theboxer000,first_to_second,200
1760022787116,theboxer000,start_to_first,411
1760022787263,theboxer000,first_to_second,147
1760022793144,theboxer000,start_to_first,252
1760022793298,theboxer000,first_to_second,154
1760022796595,theboxer000,start_to_first,302
1760022796747,theboxer000,first_to_second,152
1760022802649,theboxer000,start_to_first,306
1760022802851,theboxer000,first_to_second,203
1760022807907,theboxer000,start_to_first,105
1760022812448,theboxer000,start_to_first,353
1760022812652,theboxer000,first_to_second,204
1760022818049,theboxer000,start_to_first,52
1760022818254,theboxer000,first_to_second,204
1760022821506,theboxer000,start_to_first,303
1760022821656,theboxer000,first_to_second,150
1760022824597,theboxer000,start_to_first,302
1760022824800,theboxer000,first_to_second,203
1760022828456,theboxer000,start_to_first,252
1760022828692,theboxer000,first_to_second,236
1760022833750,theboxer000,start_to_first,158
1760022839795,theboxer000,start_to_first,299
1760022839994,theboxer000,first_to_second,200
1760022844595,theboxer000,start_to_first,304
1760022844797,theboxer000,first_to_second,202
1760022850302,theboxer000,start_to_first,254
1760022850454,theboxer000,first_to_second,152
1760022856294,theboxer000,start_to_first,285
1760022856494,theboxer000,first_to_second,200
1760022859501,theboxer000,start_to_first,299
1760022859702,theboxer000,first_to_second,200
1760022869650,theboxer000,start_to_first,301
1760022869850,theboxer000,first_to_second,200
1760022877455,theboxer000,start_to_first,255
1760022877655,theboxer000,first_to_second,200
1760022901649,theboxer000,start_to_first,405
1760022901848,theboxer000,first_to_second,198
1760022907103,theboxer000,start_to_first,152
1760022910146,theboxer000,start_to_first,304
1760022910295,theboxer000,first_to_second,149
1760022915505,theboxer000,start_to_first,303
1760022915660,theboxer000,first_to_second,155
1760022926206,theboxer000,start_to_first,303
1760022926410,theboxer000,first_to_second,204
1760022931400,theboxer000,start_to_first,201
1760022936806,theboxer000,start_to_first,301
1760022937007,theboxer000,first_to_second,201
1760022941649,theboxer000,start_to_first,255
1760022941851,theboxer000,first_to_second,202
1760022947595,theboxer000,start_to_first,150
1760022947744,theboxer000,first_to_second,149
1760022952492,theboxer000,start_to_first,301
1760022952696,theboxer000,first_to_second,204
1760022958705,theboxer000,start_to_first,353
1760022958857,theboxer000,first_to_second,151
1760022964491,theboxer000,start_to_first,337
1760022964644,theboxer000,first_to_second,154
1760022970757,theboxer000,start_to_first,301
1760022970896,theboxer000,first_to_second,140
1760022974653,theboxer000,start_to_first,300
1760022974853,theboxer000,first_to_second,200
1760022980452,theboxer000,start_to_first,251
1760022980657,theboxer000,first_to_second,205
1760022984245,theboxer000,start_to_first,304
1760022984446,theboxer000,first_to_second,200
1760022993950,theboxer000,start_to_first,202
1760022994102,theboxer000,first_to_second,152
1760022999054,theboxer000,start_to_first,252
1760022999257,theboxer000,first_to_second,202
1760023002749,theboxer000,start_to_first,252
1760023002950,theboxer000,first_to_second,201
1760023006251,theboxer000,start_to_first,298
1760023006401,theboxer000,first_to_second,151
1760023009202,theboxer000,start_to_first,352
1760023009355,theboxer000,first_to_second,153
1760023013949,theboxer000,start_to_first,303
1760023018497,theboxer000,start_to_first,250
1760023018700,theboxer000,first_to_second,203
1760023021551,theboxer000,start_to_first,301
1760023026647,theboxer000,start_to_first,203
1760023026849,theboxer000,first_to_second,202
1760023031107,theboxer000,start_to_first,350
1760023031256,theboxer000,first_to_second,150
1760023039325,theboxer000,start_to_first,349
1760023039477,theboxer000,first_to_second,152
1760023058567,theboxer000,start_to_first,251
1760023058769,theboxer000,first_to_second,203
1760023067029,theboxer000,start_to_first,301
1760023067215,theboxer000,first_to_second,186
1760023070429,theboxer000,start_to_first,204
1760023070579,theboxer000,first_to_second,149
1760023074416,theboxer000,start_to_first,388
1760023074566,theboxer000,first_to_second,150
1760023080272,theboxer000,start_to_first,302
1760023080426,theboxer000,first_to_second,154
1760023084619,theboxer000,start_to_first,285
1760023084821,theboxer000,first_to_second,201
1760023090268,theboxer000,start_to_first,252
1760023090468,theboxer000,first_to_second,201
1760023093872,theboxer000,start_to_first,344
1760023094036,theboxer000,first_to_second,164
1760023099968,theboxer000,start_to_first,155
1760023100176,theboxer000,first_to_second,208
1760023106226,theboxer000,start_to_first,152
1760023106376,theboxer000,first_to_second,150
1760023112421,theboxer000,start_to_first,251
1760023112624,theboxer000,first_to_second,201
1760023120417,theboxer000,start_to_first,154
1760023128021,theboxer000,start_to_first,202
1760023128171,theboxer000,first_to_second,150
1760023132727,theboxer000,start_to_first,205
1760023132877,theboxer000,first_to_second,149
1760023136471,theboxer000,start_to_first,52
1760023136671,theboxer000,first_to_second,200
1760023141680,theboxer000,start_to_first,305
1760023141865,theboxer000,first_to_second,185
1760023147374,theboxer000,start_to_first,300
1760023147575,theboxer000,first_to_second,202
1760023153075,theboxer000,start_to_first,248
1760023153227,theboxer000,first_to_second,153
1760023157568,theboxer000,start_to_first,251
1760023162818,theboxer000,start_to_first,254
